19:23:03.080 0x1aa00           j9jit.16       - MTH_C: 0000000000066010 00007F9B1413E2D2 0000000000000000 [7] java.lang.Thread.<init> (Bytecode PC: 122) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 11, cpu: 0.0%, 142 bcsz
19:23:03.082 0x1aa00           j9jit.15       - MTH_S: 00000000000F77E8 00007F9B1420E1C4 0000000000000000 [1] java.net.URL$DefaultFactory.<clinit> (Bytecode PC: 0) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 12, cpu: 0.0%, 6 bcsz
19:23:03.082 0x1aa00           j9jit.16       - MTH_C: 00000000000F7708 00007F9B1420CE84 0000000000000000 [2] java.net.URL.<clinit> (Bytecode PC: 0) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 12, cpu: 0.0%, 160 bcsz
19:23:03.082 0x1aa00           j9jit.16       - MTH_C: 00000000000548B0 0000000000000007 0000000000000000 [3] jdk.internal.misc.Unsafe.ensureClassInitialized0 (Native Method) 3 bcsz
19:23:03.082 0x1aa00           j9jit.16       - MTH_C: 0000000000055060 00007F9B14122E2F 0000000000000000 [4] jdk.internal.misc.Unsafe.ensureClassInitialized (Bytecode PC: 7) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 12, cpu: 0.0%, 11 bcsz
19:23:03.082 0x1aa00           j9jit.16       - MTH_C: 00000000000B8668 00007F9B141B2A77 0000000000000000 [5] jdk.internal.misc.SharedSecrets.getJavaNetURLAccess (Bytecode PC: 11) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 12, cpu: 0.0%, 18 bcsz
19:23:03.082 0x1aa00           j9jit.16       - MTH_C: 00000000000F5B90 00007F9B1420961A 0000000000000000 [6] jdk.internal.loader.URLClassPath.<clinit> (Bytecode PC: 162) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 12, cpu: 0.0%, 169 bcsz
19:23:03.082 0x1aa00           j9jit.16       - MTH_C: 00000000000EF5B0 00007F9B14200315 0000000000000000 [7] jdk.internal.loader.ClassLoaders.<clinit> (Bytecode PC: 93) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 12, cpu: 0.0%, 118 bcsz
19:23:03.082 0x1aa00           j9jit.16       - MTH_C: 000000000006AC08 00007F9B141431BD 0000000000000000 [8] java.lang.ClassLoader.initializeClassLoaders (Bytecode PC: 97) invokeCountDown: 999, startSampleCount: 0, gblSampleCount: 12, cpu: 0.0%, 87 bcsz
19:23:03.082 0x1aa00           j9jit.16       - MTH_C: 0000000000066220 00007F9B1413E6CB 0000000000000000 [9] java.lang.Thread.initialize (Bytecode PC: 163) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 12, cpu: 0.0%, 200 bcsz
