19:22:38.061 0x1aa00           j9jit.16       - MTH_C: 00000000000FC448 00007F6C64215D00 0000000000000000 [2] java.io.FileSystem.getBooleanProperty (Bytecode PC: 8) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 14, cpu: 0.0%, 12 bcsz
19:22:38.061 0x1aa00           j9jit.16       - MTH_C: 00000000000FC478 00007F6C64215D39 0000000000000000 [3] java.io.FileSystem.<clinit> (Bytecode PC: 13) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 14, cpu: 0.0%, 31 bcsz
19:22:38.061 0x1aa00           j9jit.16       - MTH_C: 00000000000FBC68 00007F6C64214638 0000000000000000 [4] java.io.DefaultFileSystem.getFileSystem (Bytecode PC: 0) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 14, cpu: 0.0%, 8 bcsz
19:22:38.061 0x1aa00           j9jit.16       - MTH_C: 00000000000FAB18 00007F6C64213958 0000000000000000 [5] java.io.File.<clinit> (Bytecode PC: 16) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 14, cpu: 0.0%, 121 bcsz
19:22:38.061 0x1aa00           j9jit.16       - MTH_C: 00000000000F5800 00007F6C64208DBA 0000000000000000 [6] jdk.internal.loader.URLClassPath.<init> (Bytecode PC: 62) invokeCountDown: 999, startSampleCount: 0, gblSampleCount: 14, cpu: 0.0%, 210 bcsz
19:22:38.061 0x1aa00           j9jit.16       - MTH_C: 00000000000EF5B0 00007F6C642005BB 0000000000000000 [7] jdk.internal.loader.ClassLoaders.<clinit> (Bytecode PC: 99) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 14, cpu: 0.0%, 118 bcsz
19:22:38.061 0x1aa00           j9jit.16       - MTH_C: 000000000006AC08 00007F6C641431BD 0000000000000000 [8] java.lang.ClassLoader.initializeClassLoaders (Bytecode PC: 97) invokeCountDown: 999, startSampleCount: 0, gblSampleCount: 14, cpu: 0.0%, 87 bcsz
19:22:38.061 0x1aa00           j9jit.16       - MTH_C: 0000000000066220 00007F6C6413E6CB 0000000000000000 [9] java.lang.Thread.initialize (Bytecode PC: 163) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 14, cpu: 0.0%, 200 bcsz
19:22:38.061 0x1aa00           j9jit.16       - MTH_C: 0000000000066010 00007F6C6413E2D2 0000000000000000 [10] java.lang.Thread.<init> (Bytecode PC: 122) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 14, cpu: 0.0%, 142 bcsz
19:22:38.063 0x1aa00           j9jit.15       - MTH_S: 0000000000045CA0 00007F6C33B2ACE0 0000000000000000 [1] java.lang.Class.newInstance (Bytecode PC: 0) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 15, cpu: 0.0%, 25 bcsz
